gender;married;dependents;education;self_employed;applicantincome;coapplicantincome;loanamount;loan_amount_term;credit_history;property_area;loan_status
male;yes;0;graduate;no;medium_high;null;medium_high;medium_long_term;1.0;urban;y
male;yes;1;graduate;no;medium_low;medium_low;medium_high;medium_long_term;1.0;urban;y
male;yes;2;graduate;no;medium_high;medium_low;high;medium_long_term;1.0;urban;y
male;yes;2;graduate;no;low;medium_high;medium_low;medium_long_term;nil;urban;y
male;no;0;not_graduate;no;medium_low;null;medium_low;medium_long_term;1.0;urban;y
male;yes;0;not_graduate;yes;low;medium_high;medium_high;medium_long_term;1.0;urban;y
female;no;1;not_graduate;no;low;null;medium_low;medium_long_term;1.0;semiurban;y
male;yes;2;not_graduate;no;medium_high;null;medium_high;medium_long_term;0.0;rural;n
male;yes;2;graduate;nil;high;null;high;medium_long_term;1.0;urban;y
male;no;0;not_graduate;no;low;medium_low;medium_high;medium_long_term;1.0;semiurban;y
male;no;0;not_graduate;no;medium_low;null;medium_low;medium_long_term;1.0;urban;y
male;yes;1;graduate;nil;low;medium_low;medium_high;medium_long_term;1.0;semiurban;y
male;no;3;graduate;no;medium_high;null;low;medium_short_term;nil;urban;y
male;yes;2;graduate;nil;high;null;medium_high;medium_long_term;0.0;semiurban;n
female;no;0;graduate;no;medium_high;null;medium_high;medium_long_term;1.0;semiurban;y
male;no;1;graduate;no;medium_high;null;medium_high;medium_long_term;1.0;urban;y
male;yes;2;graduate;no;medium_high;medium_high;medium_high;medium_long_term;1.0;urban;y
male;yes;3;graduate;no;medium_low;low;medium_high;medium_long_term;1.0;semiurban;y
male;yes;0;graduate;no;high;medium_high;high;medium_long_term;1.0;urban;y
male;no;0;graduate;no;low;medium_high;medium_low;medium_short_term;1.0;semiurban;y
male;yes;1;not_graduate;no;low;medium_low;low;medium_long_term;1.0;urban;y
female;no;3;not_graduate;no;low;null;low;medium_short_term;1.0;urban;y
nil;no;0;graduate;no;medium_high;null;medium_high;medium_long_term;1.0;urban;y
female;no;0;not_graduate;no;medium_low;null;medium_high;medium_long_term;1.0;urban;y
male;yes;0;graduate;no;medium_high;medium_high;high;medium_long_term;1.0;urban;y
male;no;0;graduate;no;low;medium_high;medium_high;medium_long_term;0.0;rural;n
male;yes;2;graduate;no;medium_high;medium_low;medium_high;medium_long_term;nil;urban;y
male;yes;0;graduate;no;high;medium_high;high;medium_long_term;1.0;urban;y
male;yes;0;graduate;no;medium_low;low;medium_low;medium_long_term;nil;semiurban;y
male;no;0;graduate;no;medium_low;medium_low;medium_high;medium_short_term;1.0;urban;y
female;no;0;not_graduate;no;low;null;medium_low;medium_long_term;1.0;semiurban;y
male;yes;2;graduate;no;high;low;medium_high;medium_long_term;1.0;urban;y
male;no;0;graduate;no;medium_low;medium_low;medium_high;medium_long_term;1.0;semiurban;y
male;yes;0;graduate;no;low;medium_high;medium_high;medium_long_term;1.0;urban;y
male;yes;0;graduate;no;low;medium_low;medium_high;medium_long_term;1.0;urban;y
male;no;0;graduate;no;medium_low;null;medium_high;medium_long_term;0.0;semiurban;n
male;yes;2;graduate;nil;high;medium_high;medium_high;medium_short_term;1.0;urban;y
male;yes;0;graduate;yes;low;medium_high;medium_low;medium_long_term;1.0;urban;y
male;no;0;graduate;yes;high;null;medium_low;medium_long_term;1.0;urban;y
male;no;0;graduate;no;medium_low;medium_low;medium_high;medium_long_term;1.0;urban;y
male;yes;0;graduate;no;medium_high;low;medium_low;medium_long_term;1.0;urban;y
female;no;0;graduate;no;medium_low;null;medium_high;medium_long_term;1.0;urban;y
male;yes;0;not_graduate;no;low;medium_low;medium_low;medium_long_term;1.0;semiurban;y
male;no;0;graduate;no;high;medium_high;medium_high;medium_long_term;1.0;semiurban;n
female;no;0;graduate;no;medium_low;null;medium_low;medium_long_term;1.0;urban;y
male;yes;0;graduate;no;medium_high;medium_high;medium_high;nil;nil;urban;y
male;yes;nil;not_graduate;no;medium_high;medium_low;medium_high;medium_long_term;1.0;urban;y
