gender,married,dependents,education,self_employed,applicantincome,coapplicantincome,loanamount,loan_amount_term,credit_history,property_area,loan_status
male,no,0,graduate,no,high,null,nil,medium_long_term,1,urban,y
male,yes,1,graduate,no,medium_high,medium_low,medium_high,medium_long_term,1,rural,n
male,yes,0,graduate,yes,medium_low,null,medium_low,medium_long_term,1,urban,y
male,yes,0,not_graduate,no,low,medium_low,medium_high,medium_long_term,1,urban,y
male,no,0,graduate,no,high,null,medium_high,medium_long_term,1,urban,y
male,yes,2,graduate,yes,medium_high,medium_high,high,medium_long_term,1,urban,y
male,yes,0,not_graduate,no,low,medium_low,medium_low,medium_long_term,1,urban,y
male,yes,3,graduate,no,medium_low,medium_high,medium_high,medium_long_term,0,semiurban,n
male,yes,2,graduate,no,medium_high,medium_low,medium_high,medium_long_term,1,urban,y
male,yes,1,graduate,no,high,medium_high,high,medium_long_term,1,semiurban,n
male,yes,2,graduate,no,medium_low,low,medium_low,medium_long_term,1,urban,y
male,yes,2,graduate,nil,low,medium_low,medium_high,medium_long_term,1,urban,y
male,yes,2,graduate,no,medium_low,medium_high,medium_high,medium_long_term,1,urban,y
male,no,0,graduate,no,low,medium_high,medium_high,medium_long_term,1,rural,n
male,yes,2,graduate,no,low,low,low,medium_short_term,1,urban,y
male,no,0,graduate,no,medium_high,null,medium_high,medium_long_term,1,urban,y
male,no,1,not_graduate,no,medium_low,null,medium_low,medium_long_term,nil,urban,y
female,no,0,graduate,no,medium_low,null,medium_low,medium_long_term,0,urban,n
male,yes,0,not_graduate,no,medium_high,null,medium_high,medium_long_term,1,rural,n
male,yes,0,graduate,nil,low,medium_high,medium_high,nil,1,urban,y
male,yes,0,not_graduate,no,high,null,medium_high,medium_long_term,0,urban,n
male,yes,1,graduate,no,high,medium_high,high,medium_long_term,1,urban,y
male,yes,0,not_graduate,no,low,medium_low,medium_high,medium_long_term,0,semiurban,n
nil,yes,2,not_graduate,no,medium_low,medium_low,medium_high,medium_long_term,0,rural,n
male,yes,1,graduate,nil,medium_low,medium_high,medium_high,medium_long_term,nil,semiurban,n
male,yes,0,graduate,yes,high,null,medium_high,medium_long_term,1,semiurban,y
male,yes,0,graduate,no,low,medium_low,medium_high,medium_long_term,1,semiurban,y
male,yes,2,not_graduate,no,medium_high,low,medium_high,medium_long_term,1,urban,y
male,no,0,not_graduate,no,low,null,low,medium_long_term,1,urban,n
female,no,2,graduate,nil,medium_low,medium_low,medium_high,medium_long_term,1,semiurban,y
male,yes,1,graduate,nil,medium_high,medium_high,high,medium_long_term,nil,urban,n
male,no,0,graduate,no,medium_low,null,medium_low,medium_long_term,1,urban,n
male,no,1,graduate,yes,medium_high,null,medium_high,medium_long_term,1,rural,n
male,yes,0,graduate,no,medium_low,medium_low,medium_high,medium_long_term,1,semiurban,y
male,no,3,graduate,no,high,medium_high,high,medium_long_term,1,rural,n
male,yes,0,graduate,no,low,medium_low,nil,medium_long_term,1,urban,y
male,yes,0,graduate,no,low,medium_low,medium_low,nil,0,urban,n
female,yes,0,graduate,no,medium_low,medium_low,medium_high,medium_long_term,1,semiurban,y
male,no,0,graduate,no,medium_high,medium_high,medium_high,medium_long_term,1,urban,y
male,no,0,not_graduate,no,medium_low,medium_low,medium_high,medium_long_term,1,semiurban,y
male,no,0,graduate,no,medium_low,null,medium_low,medium_long_term,1,urban,n
male,no,0,graduate,no,low,low,low,medium_long_term,1,urban,y
male,yes,0,graduate,no,low,null,medium_low,medium_long_term,nil,urban,y
male,yes,0,graduate,no,medium_high,medium_low,medium_high,medium_long_term,1,semiurban,y
male,yes,0,not_graduate,yes,medium_high,null,medium_low,nil,1,urban,y
female,no,0,graduate,no,medium_low,null,medium_low,nil,1,urban,y
male,yes,1,graduate,no,medium_high,null,low,medium_long_term,1,urban,y
male,yes,0,graduate,no,high,null,medium_high,medium_long_term,1,urban,y
female,yes,0,graduate,no,low,medium_high,medium_high,medium_long_term,0,urban,n
female,no,0,graduate,no,medium_high,medium_low,medium_high,medium_long_term,1,semiurban,y
female,yes,0,not_graduate,no,low,medium_low,medium_low,medium_long_term,1,semiurban,y
female,no,0,graduate,no,medium_low,null,medium_high,medium_long_term,1,semiurban,y
female,no,0,graduate,no,medium_high,null,medium_high,medium_long_term,1,semiurban,n
male,yes,2,graduate,no,medium_high,null,medium_high,medium_long_term,1,urban,n
female,yes,1,graduate,yes,high,null,high,medium_long_term,0,urban,n
male,yes,2,graduate,no,low,low,medium_low,medium_long_term,1,semiurban,y
male,yes,0,graduate,no,low,medium_low,medium_low,medium_long_term,1,semiurban,y
male,yes,0,graduate,no,medium_low,medium_low,medium_high,medium_long_term,1,rural,n
male,yes,1,graduate,no,high,medium_low,medium_high,medium_long_term,1,urban,y
male,yes,2,not_graduate,no,medium_low,medium_high,medium_high,medium_long_term,1,urban,y
male,yes,0,graduate,no,low,medium_high,medium_high,medium_long_term,1,urban,y
male,yes,3,graduate,no,medium_low,null,medium_low,medium_long_term,1,urban,y
male,yes,0,not_graduate,yes,low,medium_high,medium_high,medium_short_term,0,rural,n
