gender,married,dependents,self_employed,applicantincome,coapplicantincome,loanamount,loan_amount_term,credit_history,property_area,loan_status
male,no,0,no,59,1,nil,37,1,urban,y
male,yes,1,no,46,16,13,37,1,rural,n
male,yes,0,yes,30,1,7,37,1,urban,y
male,yes,0,no,26,24,13,37,1,urban,y
male,no,0,no,60,1,15,37,1,urban,y
male,yes,2,yes,55,42,27,37,1,urban,y
male,yes,0,no,24,16,10,37,1,urban,y
male,yes,3,no,31,26,16,37,0,semiurban,n
male,yes,2,no,41,16,17,37,1,urban,y
male,yes,1,no,129,110,35,37,1,semiurban,n
male,yes,2,no,32,7,8,37,1,urban,y
male,yes,2,nil,25,19,11,37,1,urban,y
male,yes,2,no,31,82,21,37,1,urban,y
male,no,0,no,19,29,12,37,1,rural,n
male,yes,2,no,13,11,2,13,1,urban,y
male,no,0,no,50,1,13,37,1,urban,y
male,no,1,no,36,1,11,25,nil,urban,y
female,no,0,no,36,1,8,37,0,urban,n
male,yes,0,no,49,1,14,37,1,rural,n
male,yes,0,nil,26,35,12,nil,1,urban,y
male,yes,0,no,77,1,11,37,0,urban,n
male,yes,1,no,60,57,32,37,1,urban,y
male,yes,0,no,26,20,12,37,0,semiurban,n
nil,yes,2,no,34,20,12,37,0,rural,n
male,yes,1,nil,38,30,16,37,nil,semiurban,n
male,yes,0,yes,96,1,20,37,1,semiurban,y
male,yes,0,no,28,23,13,37,1,semiurban,y
male,yes,2,no,43,11,12,37,1,urban,y
male,no,0,no,15,1,4,37,1,urban,n
female,no,2,nil,38,21,13,37,1,semiurban,y
male,yes,1,nil,42,34,21,37,nil,urban,n
male,no,0,no,32,1,8,37,1,urban,n
male,no,1,yes,47,1,11,37,1,rural,n
male,yes,0,no,35,17,12,37,1,semiurban,y
male,no,3,no,125,30,33,37,1,rural,n
male,yes,0,no,23,21,nil,37,1,urban,y
male,yes,0,no,19,14,11,nil,0,urban,n
female,yes,0,no,37,15,15,37,1,semiurban,y
male,no,0,no,42,73,19,37,1,urban,y
male,no,0,no,38,17,12,37,1,semiurban,y
male,no,0,no,36,1,9,37,1,urban,n
male,no,0,no,18,13,5,37,1,urban,y
male,yes,0,no,24,1,8,37,nil,urban,y
male,yes,0,no,40,24,14,37,1,semiurban,y
male,yes,0,yes,47,1,10,nil,1,urban,y
female,no,0,no,35,1,9,nil,1,urban,y
male,yes,1,no,57,1,5,37,1,urban,y
male,yes,0,no,59,1,15,37,1,urban,y
female,yes,0,no,27,35,13,37,0,urban,n
female,no,0,no,40,23,15,37,1,semiurban,y
female,yes,0,no,20,17,11,37,1,semiurban,y
female,no,0,no,31,1,13,37,1,semiurban,y
female,no,0,no,43,1,12,37,1,semiurban,n
male,yes,2,no,47,1,14,37,1,urban,n
female,yes,1,yes,115,1,29,37,0,urban,n
male,yes,2,no,28,12,10,37,1,semiurban,y
male,yes,0,no,22,16,10,37,1,semiurban,y
male,yes,0,no,34,22,14,37,1,rural,n
male,yes,1,no,81,23,19,37,1,urban,y
male,yes,2,no,34,29,15,37,1,urban,y
male,yes,0,no,25,38,13,37,1,urban,y
male,yes,3,no,31,1,10,37,1,urban,y
male,yes,0,yes,27,35,17,37,0,rural,n
male,yes,1,no,50,1,nil,19,0,rural,n
female,no,0,no,42,1,12,37,0,semiurban,n
male,yes,0,no,58,46,26,37,1,semiurban,n
male,no,0,no,32,23,13,37,0,urban,n
male,yes,1,no,108,1,32,19,1,urban,y
male,yes,3,yes,71,1,13,37,1,urban,y
female,no,0,no,43,1,14,7,0,semiurban,n
male,yes,0,no,33,31,18,37,1,urban,y
male,yes,2,yes,19,19,10,37,1,semiurban,y
male,no,0,no,35,1,9,37,1,semiurban,y
male,yes,3,no,48,1,10,31,0,semiurban,n
male,yes,3,yes,53,18,19,nil,1,semiurban,y
male,no,0,no,38,1,12,37,1,urban,n
male,no,0,no,38,48,18,49,1,urban,n
