gender,married,dependents,self_employed,applicantincome,coapplicantincome,loanamount,loan_amount_term,credit_history,property_area,loan_status
male,yes,0,no,58,1,11,36,1.0,urban,y
male,yes,1,no,31,15,13,36,1.0,urban,y
male,yes,2,no,50,18,21,36,1.0,urban,y
male,yes,2,no,24,26,10,36,nil,urban,y
male,no,0,no,33,1,8,36,1.0,urban,y
male,yes,0,yes,22,35,16,36,1.0,urban,y
female,no,1,no,23,1,6,36,1.0,semiurban,y
male,yes,2,no,39,1,15,36,0.0,rural,n
male,yes,2,nil,137,1,28,24,1.0,urban,y
male,no,0,no,24,24,13,36,1.0,semiurban,y
male,no,0,no,31,1,9,36,1.0,urban,y
male,yes,1,nil,22,16,17,36,1.0,semiurban,y
male,no,3,no,42,1,4,18,nil,urban,y
male,yes,2,nil,122,1,17,36,0.0,semiurban,n
female,no,0,no,47,1,13,36,1.0,semiurban,y
male,no,1,no,57,1,14,36,1.0,urban,y
male,yes,2,no,46,30,20,36,1.0,urban,y
male,yes,3,no,38,4,13,36,1.0,semiurban,y
male,yes,0,no,93,80,30,36,1.0,urban,y
male,no,0,no,13,35,10,18,1.0,semiurban,y
male,yes,1,no,19,17,5,36,1.0,urban,y
female,no,3,no,21,1,3,18,1.0,urban,y
nil,no,0,no,40,1,11,36,1.0,urban,y
female,no,0,no,38,1,13,36,1.0,urban,y
male,yes,0,no,54,44,29,36,1.0,urban,y
male,no,0,no,1,240,15,36,0.0,rural,n
male,yes,2,no,44,13,14,36,nil,urban,y
male,yes,0,no,75,38,28,36,1.0,urban,y
male,yes,0,no,38,9,6,36,nil,semiurban,y
male,no,0,no,30,24,13,18,1.0,urban,y
female,no,0,no,25,1,8,36,1.0,semiurban,y
male,yes,2,no,63,9,20,36,1.0,urban,y
male,no,0,no,33,17,16,36,1.0,semiurban,y
male,yes,0,no,28,28,16,36,1.0,urban,y
male,yes,0,no,28,16,11,36,1.0,urban,y
male,no,0,no,32,1,18,36,0.0,semiurban,n
male,yes,2,nil,74,41,19,18,1.0,urban,y
male,yes,0,yes,23,28,9,36,1.0,urban,y
male,no,0,yes,59,1,12,36,1.0,urban,y
