Gender;Married;Dependents;Self_Employed;ApplicantIncome;CoapplicantIncome;LoanAmount;Loan_Amount_Term;Credit_History;Property_Area;Loan_Status
Male;No;0;No;59;1;nil;37;1;Urban;Y
Male;Yes;1;No;46;16;13;37;1;Rural;N
Male;Yes;0;Yes;30;1;7;37;1;Urban;Y
Male;Yes;0;No;26;24;13;37;1;Urban;Y
Male;No;0;No;60;1;15;37;1;Urban;Y
Male;Yes;2;Yes;55;42;27;37;1;Urban;Y
Male;Yes;0;No;24;16;10;37;1;Urban;Y
Male;Yes;3;No;31;26;16;37;0;Semiurban;N
Male;Yes;2;No;41;16;17;37;1;Urban;Y
Male;Yes;1;No;129;110;35;37;1;Semiurban;N
Male;Yes;2;No;32;7;8;37;1;Urban;Y
Male;Yes;2;nil;25;19;11;37;1;Urban;Y
Male;Yes;2;No;31;82;21;37;1;Urban;Y
Male;No;0;No;19;29;12;37;1;Rural;N
Male;Yes;2;No;13;11;2;13;1;Urban;Y
Male;No;0;No;50;1;13;37;1;Urban;Y
Male;No;1;No;36;1;11;25;nil;Urban;Y
Female;No;0;No;36;1;8;37;0;Urban;N
Male;Yes;0;No;49;1;14;37;1;Rural;N
Male;Yes;0;nil;26;35;12;nil;1;Urban;Y
Male;Yes;0;No;77;1;11;37;0;Urban;N
Male;Yes;1;No;60;57;32;37;1;Urban;Y
Male;Yes;0;No;26;20;12;37;0;Semiurban;N
nil;Yes;2;No;34;20;12;37;0;Rural;N
Male;Yes;1;nil;38;30;16;37;nil;Semiurban;N
Male;Yes;0;Yes;96;1;20;37;1;Semiurban;Y
Male;Yes;0;No;28;23;13;37;1;Semiurban;Y
Male;Yes;2;No;43;11;12;37;1;Urban;Y
Male;No;0;No;15;1;4;37;1;Urban;N
Female;No;2;nil;38;21;13;37;1;Semiurban;Y
Male;Yes;1;nil;42;34;21;37;nil;Urban;N
Male;No;0;No;32;1;8;37;1;Urban;N
Male;No;1;Yes;47;1;11;37;1;Rural;N
Male;Yes;0;No;35;17;12;37;1;Semiurban;Y
Male;No;3;No;125;30;33;37;1;Rural;N
Male;Yes;0;No;23;21;nil;37;1;Urban;Y
Male;Yes;0;No;19;14;11;nil;0;Urban;N
Female;Yes;0;No;37;15;15;37;1;Semiurban;Y
Male;No;0;No;42;73;19;37;1;Urban;Y
Male;No;0;No;38;17;12;37;1;Semiurban;Y
Male;No;0;No;36;1;9;37;1;Urban;N
Male;No;0;No;18;13;5;37;1;Urban;Y
Male;Yes;0;No;24;1;8;37;nil;Urban;Y
Male;Yes;0;No;40;24;14;37;1;Semiurban;Y
Male;Yes;0;Yes;47;1;10;nil;1;Urban;Y
Female;No;0;No;35;1;9;nil;1;Urban;Y
Male;Yes;1;No;57;1;5;37;1;Urban;Y
Male;Yes;0;No;59;1;15;37;1;Urban;Y
Female;Yes;0;No;27;35;13;37;0;Urban;N
Female;No;0;No;40;23;15;37;1;Semiurban;Y
Female;Yes;0;No;20;17;11;37;1;Semiurban;Y
Female;No;0;No;31;1;13;37;1;Semiurban;Y
Female;No;0;No;43;1;12;37;1;Semiurban;N
Male;Yes;2;No;47;1;14;37;1;Urban;N
Female;Yes;1;Yes;115;1;29;37;0;Urban;N
Male;Yes;2;No;28;12;10;37;1;Semiurban;Y
Male;Yes;0;No;22;16;10;37;1;Semiurban;Y
Male;Yes;0;No;34;22;14;37;1;Rural;N
Male;Yes;1;No;81;23;19;37;1;Urban;Y
Male;Yes;2;No;34;29;15;37;1;Urban;Y
Male;Yes;0;No;25;38;13;37;1;Urban;Y
Male;Yes;3;No;31;1;10;37;1;Urban;Y
Male;Yes;0;Yes;27;35;17;37;0;Rural;N
Male;Yes;1;No;50;1;nil;19;0;Rural;N
Female;No;0;No;42;1;12;37;0;Semiurban;N
Male;Yes;0;No;58;46;26;37;1;Semiurban;N
Male;No;0;No;32;23;13;37;0;Urban;N
