Gender;Married;Dependents;Self_Employed;ApplicantIncome;CoapplicantIncome;LoanAmount;Loan_Amount_Term;Credit_History;Property_Area;Loan_Status
Male;Yes;0;No;5720;0;medium_high;medium_long_term;1.0;Urban;Y
Male;Yes;1;No;3076;1500;medium_high;medium_long_term;1.0;Urban;Y
Male;Yes;2;No;5000;1800;high;medium_long_term;1.0;Urban;Y
Male;Yes;2;No;2340;2546;medium_low;medium_long_term;Nil;Urban;Y
Male;No;0;No;3276;0;medium_low;medium_long_term;1.0;Urban;Y
Male;Yes;0;Yes;2165;3422;medium_high;medium_long_term;1.0;Urban;Y
Female;No;1;No;2226;0;medium_low;medium_long_term;1.0;Semiurban;Y
Male;Yes;2;No;3881;0;medium_high;medium_long_term;0.0;Rural;N
Male;Yes;2;Nil;13633;0;high;medium_long_term;1.0;Urban;Y
Male;No;0;No;2400;2400;medium_high;medium_long_term;1.0;Semiurban;Y
Male;No;0;No;3091;0;medium_low;medium_long_term;1.0;Urban;Y
Male;Yes;1;Nil;2185;1516;medium_high;medium_long_term;1.0;Semiurban;Y
Male;No;3;No;4166;0;low;medium_short_term;Nil;Urban;Y
Male;Yes;2;Nil;12173;0;medium_high;medium_long_term;0.0;Semiurban;N
Female;No;0;No;4666;0;medium_high;medium_long_term;1.0;Semiurban;Y
Male;No;1;No;5667;0;medium_high;medium_long_term;1.0;Urban;Y
Male;Yes;2;No;4583;2916;medium_high;medium_long_term;1.0;Urban;Y
Male;Yes;3;No;3786;333;medium_high;medium_long_term;1.0;Semiurban;Y
Male;Yes;0;No;9226;7916;high;medium_long_term;1.0;Urban;Y
Male;No;0;No;1300;3470;medium_low;medium_short_term;1.0;Semiurban;Y
Male;Yes;1;No;1888;1620;low;medium_long_term;1.0;Urban;Y
Female;No;3;No;2083;0;low;medium_short_term;1.0;Urban;Y
Nil;No;0;No;3909;0;medium_high;medium_long_term;1.0;Urban;Y
Female;No;0;No;3765;0;medium_high;medium_long_term;1.0;Urban;Y
Male;Yes;0;No;5400;4380;high;medium_long_term;1.0;Urban;Y
Male;No;0;No;0;24000;medium_high;medium_long_term;0.0;Rural;N
Male;Yes;2;No;4363;1250;medium_high;medium_long_term;Nil;Urban;Y
Male;Yes;0;No;7500;3750;high;medium_long_term;1.0;Urban;Y
Male;Yes;0;No;3772;833;medium_low;medium_long_term;Nil;Semiurban;Y
Male;No;0;No;2942;2382;medium_high;medium_short_term;1.0;Urban;Y
Female;No;0;No;2478;0;medium_low;medium_long_term;1.0;Semiurban;Y
Male;Yes;2;No;6250;820;medium_high;medium_long_term;1.0;Urban;Y
Male;No;0;No;3268;1683;medium_high;medium_long_term;1.0;Semiurban;Y
Male;Yes;0;No;2783;2708;medium_high;medium_long_term;1.0;Urban;Y
Male;Yes;0;No;2740;1541;medium_high;medium_long_term;1.0;Urban;Y
Male;No;0;No;3150;0;medium_high;medium_long_term;0.0;Semiurban;N
Male;Yes;2;Nil;7350;4029;medium_high;medium_short_term;1.0;Urban;Y
Male;Yes;0;Yes;2267;2792;medium_low;medium_long_term;1.0;Urban;Y
Male;No;0;Yes;5833;0;medium_low;medium_long_term;1.0;Urban;Y
Male;No;0;No;3643;1963;medium_high;medium_long_term;1.0;Urban;Y
Male;Yes;0;No;5629;818;medium_low;medium_long_term;1.0;Urban;Y
Female;No;0;No;3644;0;medium_high;medium_long_term;1.0;Urban;Y
Male;Yes;0;No;1750;2024;medium_low;medium_long_term;1.0;Semiurban;Y
Male;No;0;No;6500;2600;medium_high;medium_long_term;1.0;Semiurban;N
Female;No;0;No;3666;0;medium_low;medium_long_term;1.0;Urban;Y
Male;Yes;0;No;4260;3900;medium_high;Nil;Nil;Urban;Y
Male;Yes;Nil;No;4163;1475;medium_high;medium_long_term;1.0;Urban;Y
Male;No;0;No;2356;1902;medium_high;medium_long_term;1.0;Semiurban;Y
Male;No;0;No;6792;3338;medium_high;Nil;1.0;Urban;Y
Male;Yes;3;Yes;8000;250;medium_high;medium_long_term;1.0;Semiurban;Y
Male;Yes;1;No;2419;1707;medium_high;medium_long_term;1.0;Urban;Y
Nil;Yes;3;No;3500;833;medium_high;medium_long_term;1.0;Semiurban;Y
Male;Yes;1;No;3500;3077;medium_high;medium_long_term;1.0;Semiurban;Y
Male;Yes;2;No;4116;1000;low;medium_short_term;1.0;Urban;Y
Male;Yes;0;Yes;5293;0;medium_low;medium_long_term;1.0;Urban;Y
Male;No;0;No;2750;0;medium_high;medium_long_term;0.0;Urban;N
Female;No;0;No;4402;0;medium_high;medium_long_term;1.0;Rural;Y
Male;Yes;2;No;3613;3539;medium_high;medium_short_term;1.0;Semiurban;Y
Female;Yes;2;No;2779;3664;medium_high;medium_long_term;0.0;Semiurban;N
Male;Yes;3;No;4720;0;medium_low;medium_short_term;1.0;Semiurban;Y
Male;Yes;0;No;2415;1721;medium_high;medium_long_term;1.0;Semiurban;Y
Male;Yes;0;Yes;7016;292;medium_high;medium_long_term;1.0;Urban;Y
Female;No;2;No;4968;0;medium_high;medium_long_term;1.0;Semiurban;Y
Female;No;0;No;2101;1500;medium_high;medium_long_term;0.0;Rural;N
Male;Yes;3;No;4490;0;medium_high;medium_long_term;1.0;Urban;Y
Male;Yes;0;No;2917;3583;medium_high;medium_long_term;1.0;Semiurban;Y
Male;Yes;0;No;4700;0;medium_high;medium_long_term;0.0;Semiurban;N
Male;Yes;0;No;3445;0;medium_high;medium_long_term;0.0;Semiurban;N
Male;Yes;0;No;7666;0;medium_high;medium_long_term;1.0;Semiurban;Y
Male;Yes;0;No;2458;5105;medium_high;medium_long_term;0.0;Rural;N
Female;No;Nil;No;3250;0;medium_low;medium_long_term;1.0;Semiurban;Y
Male;No;0;No;4463;0;medium_low;medium_long_term;1.0;Semiurban;Y
Male;Yes;1;Nil;4083;1775;medium_high;short_term;1.0;Urban;Y
Male;Yes;0;Yes;3900;2094;high;medium_long_term;1.0;Rural;Y
Male;Yes;0;No;4750;3583;medium_high;medium_long_term;1.0;Semiurban;Y
Male;No;0;No;3583;3435;medium_high;medium_long_term;1.0;Urban;Y
Male;Yes;0;No;3189;2367;medium_high;medium_long_term;1.0;Urban;Y
Male;No;0;Yes;6356;0;low;medium_long_term;1.0;Rural;Y
Male;Yes;1;No;3413;4053;Nil;medium_long_term;1.0;Semiurban;Y
Female;Yes;0;No;7950;0;medium_high;medium_long_term;1.0;Urban;Y
Male;Yes;3;No;3829;1103;medium_high;medium_long_term;0.0;Urban;N
Male;Yes;3;No;72529;0;high;medium_long_term;1.0;Urban;N
Male;Yes;2;No;4136;0;medium_high;long_term;0.0;Rural;N
Male;Yes;0;No;8449;0;High;medium_long_term;1.0;Rural;Y
Male;Yes;0;No;4456;0;medium_high;medium_short_term;0.0;Semiurban;N
Male;Yes;2;No;4635;8000;medium_high;medium_short_term;1.0;Rural;Y
Male;Yes;0;No;3571;1917;medium_high;medium_long_term;1.0;Urban;Y
Male;No;0;No;3066;0;medium_low;medium_long_term;1.0;Semiurban;Y
Male;No;2;No;3235;2015;medium_low;medium_long_term;1.0;Semiurban;Y
Female;No;0;Nil;5058;0;medium_high;medium_long_term;1.0;Rural;Y
Male;Yes;0;Yes;3188;2286;medium_high;medium_long_term;Nil;Rural;Y
Male;Yes;3;No;13518;0;high;medium_long_term;1.0;Rural;Y
Male;Yes;1;No;4364;2500;medium_high;medium_long_term;1.0;Semiurban;Y
Male;Yes;2;No;4766;1646;medium_low;medium_long_term;1.0;Semiurban;Y
Male;Yes;1;No;4609;2333;medium_high;medium_long_term;0.0;Semiurban;N
Female;Yes;3;No;6260;0;medium_high;medium_long_term;1.0;Semiurban;Y
Male;Yes;1;No;3333;4200;high;medium_long_term;1.0;Urban;Y
Male;Yes;0;No;3500;3250;medium_high;medium_long_term;1.0;Semiurban;Y
Male;Yes;3;No;9719;0;medium_low;medium_long_term;1.0;Urban;Y
