gender,married,dependents,self_employed,applicantincome,coapplicantincome,loanamount,loan_amount_term,credit_history,property_area,loan_status
male,yes,0,no,5720,0,medium_high,medium_long_term,1.0,urban,y
male,yes,1,no,3076,1500,medium_high,medium_long_term,1.0,urban,y
male,yes,2,no,5000,1800,high,medium_long_term,1.0,urban,y
male,yes,2,no,2340,2546,medium_low,medium_long_term,nil,urban,y
male,no,0,no,3276,0,medium_low,medium_long_term,1.0,urban,y
male,yes,0,yes,2165,3422,medium_high,medium_long_term,1.0,urban,y
female,no,1,no,2226,0,medium_low,medium_long_term,1.0,semiurban,y
male,yes,2,no,3881,0,medium_high,medium_long_term,0.0,rural,n
male,yes,2,nil,13633,0,high,medium_long_term,1.0,urban,y
male,no,0,no,2400,2400,medium_high,medium_long_term,1.0,semiurban,y
male,no,0,no,3091,0,medium_low,medium_long_term,1.0,urban,y
male,yes,1,nil,2185,1516,medium_high,medium_long_term,1.0,semiurban,y
male,no,3,no,4166,0,low,medium_short_term,nil,urban,y
male,yes,2,nil,12173,0,medium_high,medium_long_term,0.0,semiurban,n
female,no,0,no,4666,0,medium_high,medium_long_term,1.0,semiurban,y
male,no,1,no,5667,0,medium_high,medium_long_term,1.0,urban,y
male,yes,2,no,4583,2916,medium_high,medium_long_term,1.0,urban,y
male,yes,3,no,3786,333,medium_high,medium_long_term,1.0,semiurban,y
male,yes,0,no,9226,7916,high,medium_long_term,1.0,urban,y
male,no,0,no,1300,3470,medium_low,medium_short_term,1.0,semiurban,y
male,yes,1,no,1888,1620,low,medium_long_term,1.0,urban,y
female,no,3,no,2083,0,low,medium_short_term,1.0,urban,y
nil,no,0,no,3909,0,medium_high,medium_long_term,1.0,urban,y
female,no,0,no,3765,0,medium_high,medium_long_term,1.0,urban,y
male,yes,0,no,5400,4380,high,medium_long_term,1.0,urban,y
male,no,0,no,0,24000,medium_high,medium_long_term,0.0,rural,n
male,yes,2,no,4363,1250,medium_high,medium_long_term,nil,urban,y
male,yes,0,no,7500,3750,high,medium_long_term,1.0,urban,y
male,yes,0,no,3772,833,medium_low,medium_long_term,nil,semiurban,y
male,no,0,no,2942,2382,medium_high,medium_short_term,1.0,urban,y
female,no,0,no,2478,0,medium_low,medium_long_term,1.0,semiurban,y
male,yes,2,no,6250,820,medium_high,medium_long_term,1.0,urban,y
male,no,0,no,3268,1683,medium_high,medium_long_term,1.0,semiurban,y
male,yes,0,no,2783,2708,medium_high,medium_long_term,1.0,urban,y
male,yes,0,no,2740,1541,medium_high,medium_long_term,1.0,urban,y
male,no,0,no,3150,0,medium_high,medium_long_term,0.0,semiurban,n
male,yes,2,nil,7350,4029,medium_high,medium_short_term,1.0,urban,y
male,yes,0,yes,2267,2792,medium_low,medium_long_term,1.0,urban,y
male,no,0,yes,5833,0,medium_low,medium_long_term,1.0,urban,y
male,no,0,no,3643,1963,medium_high,medium_long_term,1.0,urban,y
male,yes,0,no,5629,818,medium_low,medium_long_term,1.0,urban,y
female,no,0,no,3644,0,medium_high,medium_long_term,1.0,urban,y
male,yes,0,no,1750,2024,medium_low,medium_long_term,1.0,semiurban,y
male,no,0,no,6500,2600,medium_high,medium_long_term,1.0,semiurban,n
female,no,0,no,3666,0,medium_low,medium_long_term,1.0,urban,y
male,yes,0,no,4260,3900,medium_high,nil,nil,urban,y
male,yes,nil,no,4163,1475,medium_high,medium_long_term,1.0,urban,y
male,no,0,no,2356,1902,medium_high,medium_long_term,1.0,semiurban,y
male,no,0,no,6792,3338,medium_high,nil,1.0,urban,y
male,yes,3,yes,8000,250,medium_high,medium_long_term,1.0,semiurban,y
male,yes,1,no,2419,1707,medium_high,medium_long_term,1.0,urban,y
nil,yes,3,no,3500,833,medium_high,medium_long_term,1.0,semiurban,y
male,yes,1,no,3500,3077,medium_high,medium_long_term,1.0,semiurban,y
male,yes,2,no,4116,1000,low,medium_short_term,1.0,urban,y
male,yes,0,yes,5293,0,medium_low,medium_long_term,1.0,urban,y
male,no,0,no,2750,0,medium_high,medium_long_term,0.0,urban,n
female,no,0,no,4402,0,medium_high,medium_long_term,1.0,rural,y
male,yes,2,no,3613,3539,medium_high,medium_short_term,1.0,semiurban,y
female,yes,2,no,2779,3664,medium_high,medium_long_term,0.0,semiurban,n
male,yes,3,no,4720,0,medium_low,medium_short_term,1.0,semiurban,y
male,yes,0,no,2415,1721,medium_high,medium_long_term,1.0,semiurban,y
male,yes,0,yes,7016,292,medium_high,medium_long_term,1.0,urban,y
female,no,2,no,4968,0,medium_high,medium_long_term,1.0,semiurban,y
female,no,0,no,2101,1500,medium_high,medium_long_term,0.0,rural,n
male,yes,3,no,4490,0,medium_high,medium_long_term,1.0,urban,y
male,yes,0,no,2917,3583,medium_high,medium_long_term,1.0,semiurban,y
male,yes,0,no,4700,0,medium_high,medium_long_term,0.0,semiurban,n
male,yes,0,no,3445,0,medium_high,medium_long_term,0.0,semiurban,n
male,yes,0,no,7666,0,medium_high,medium_long_term,1.0,semiurban,y
male,yes,0,no,2458,5105,medium_high,medium_long_term,0.0,rural,n
female,no,nil,no,3250,0,medium_low,medium_long_term,1.0,semiurban,y
male,no,0,no,4463,0,medium_low,medium_long_term,1.0,semiurban,y
male,yes,1,nil,4083,1775,medium_high,short_term,1.0,urban,y
male,yes,0,yes,3900,2094,high,medium_long_term,1.0,rural,y
male,yes,0,no,4750,3583,medium_high,medium_long_term,1.0,semiurban,y
male,no,0,no,3583,3435,medium_high,medium_long_term,1.0,urban,y
male,yes,0,no,3189,2367,medium_high,medium_long_term,1.0,urban,y
male,no,0,yes,6356,0,low,medium_long_term,1.0,rural,y
male,yes,1,no,3413,4053,nil,medium_long_term,1.0,semiurban,y
female,yes,0,no,7950,0,medium_high,medium_long_term,1.0,urban,y
male,yes,3,no,3829,1103,medium_high,medium_long_term,0.0,urban,n
male,yes,3,no,72529,0,high,medium_long_term,1.0,urban,n
male,yes,2,no,4136,0,medium_high,long_term,0.0,rural,n
male,yes,0,no,8449,0,high,medium_long_term,1.0,rural,y
male,yes,0,no,4456,0,medium_high,medium_short_term,0.0,semiurban,n
male,yes,2,no,4635,8000,medium_high,medium_short_term,1.0,rural,y
male,yes,0,no,3571,1917,medium_high,medium_long_term,1.0,urban,y
male,no,0,no,3066,0,medium_low,medium_long_term,1.0,semiurban,y
male,no,2,no,3235,2015,medium_low,medium_long_term,1.0,semiurban,y
female,no,0,nil,5058,0,medium_high,medium_long_term,1.0,rural,y
male,yes,0,yes,3188,2286,medium_high,medium_long_term,nil,rural,y
male,yes,3,no,13518,0,high,medium_long_term,1.0,rural,y
male,yes,1,no,4364,2500,medium_high,medium_long_term,1.0,semiurban,y
male,yes,2,no,4766,1646,medium_low,medium_long_term,1.0,semiurban,y
male,yes,1,no,4609,2333,medium_high,medium_long_term,0.0,semiurban,n
female,yes,3,no,6260,0,medium_high,medium_long_term,1.0,semiurban,y
male,yes,1,no,3333,4200,high,medium_long_term,1.0,urban,y
male,yes,0,no,3500,3250,medium_high,medium_long_term,1.0,semiurban,y
male,yes,3,no,9719,0,medium_low,medium_long_term,1.0,urban,y
male,yes,3,no,6835,0,medium_high,medium_long_term,nil,semiurban,y
male,no,0,no,4452,0,medium_high,medium_long_term,1.0,rural,y
female,yes,0,no,2262,0,nil,long_term,0.0,semiurban,n
male,yes,1,no,3901,0,medium_high,medium_long_term,1.0,urban,y
male,yes,2,no,2687,0,low,medium_short_term,1.0,rural,y
male,no,0,no,2243,2233,medium_high,medium_long_term,nil,semiurban,y
female,yes,0,no,3417,1287,medium_high,medium_long_term,1.0,semiurban,y
nil,no,0,no,1596,1760,medium_high,medium_long_term,0.0,urban,n
male,yes,3,no,4513,0,medium_high,medium_long_term,1.0,rural,y
male,yes,0,no,4500,0,medium_high,medium_long_term,1.0,semiurban,y
male,yes,0,no,4523,1350,medium_high,medium_long_term,1.0,urban,y
