Gender;Married;Dependents;Self_Employed;ApplicantIncome;CoapplicantIncome;LoanAmount;Loan_Amount__term;Credit_History;Property_Area;Loan_Status
Male;No;0;No;5849;0;NIL;Medium_long_term;1;Urban;Y
Male;Yes;1;No;4583;1508;Medium_High;Medium_long_term;1;Rural;N
Male;Yes;0;Yes;3000;0;Medium_Low;Medium_long_term;1;Urban;Y
Male;Yes;0;No;2583;2358;Medium_High;Medium_long_term;1;Urban;Y
Male;No;0;No;6000;0;Medium_High;Medium_long_term;1;Urban;Y
Male;Yes;2;Yes;5417;4196;High;Medium_long_term;1;Urban;Y
Male;Yes;0;No;2333;1516;Medium_Low;Medium_long_term;1;Urban;Y
Male;Yes;3;No;3036;2504;Medium_High;Medium_long_term;0;Semiurban;N
Male;Yes;2;No;4006;1526;Medium_High;Medium_long_term;1;Urban;Y
Male;Yes;1;No;12841;10968;High;Medium_long_term;1;Semiurban;N
Male;Yes;2;No;3200;700;Medium_Low;Medium_long_term;1;Urban;Y
Male;Yes;2;NIL;2500;1840;Medium_High;Medium_long_term;1;Urban;Y
Male;Yes;2;No;3073;8106;Medium_High;Medium_long_term;1;Urban;Y
Male;No;0;No;1853;2840;Medium_High;Medium_long_term;1;Rural;N
Male;Yes;2;No;1299;1086;Low;Medium_short_term;1;Urban;Y
Male;No;0;No;4950;0;Medium_High;Medium_long_term;1;Urban;Y
Male;No;1;No;3596;0;Medium_Low;Medium_long_term;NIL;Urban;Y
Female;No;0;No;3510;0;Medium_Low;Medium_long_term;0;Urban;N
Male;Yes;0;No;4887;0;Medium_High;Medium_long_term;1;Rural;N
Male;Yes;0;NIL;2600;3500;Medium_High;NIL;1;Urban;Y
Male;Yes;0;No;7660;0;Medium_High;Medium_long_term;0;Urban;N
Male;Yes;1;No;5955;5625;High;Medium_long_term;1;Urban;Y
Male;Yes;0;No;2600;1911;Medium_High;Medium_long_term;0;Semiurban;N
NIL;Yes;2;No;3365;1917;Medium_High;Medium_long_term;0;Rural;N
Male;Yes;1;NIL;3717;2925;Medium_High;Medium_long_term;NIL;Semiurban;N
Male;Yes;0;Yes;9560;0;Medium_High;Medium_long_term;1;Semiurban;Y
Male;Yes;0;No;2799;2253;Medium_High;Medium_long_term;1;Semiurban;Y
Male;Yes;2;No;4226;1040;Medium_High;Medium_long_term;1;Urban;Y
Male;No;0;No;1442;0;Low;Medium_long_term;1;Urban;N
Female;No;2;NIL;3750;2083;Medium_High;Medium_long_term;1;Semiurban;Y
Male;Yes;1;NIL;4166;3369;High;Medium_long_term;NIL;Urban;N
Male;No;0;No;3167;0;Medium_Low;Medium_long_term;1;Urban;N
Male;No;1;Yes;4692;0;Medium_High;Medium_long_term;1;Rural;N
Male;Yes;0;No;3500;1667;Medium_High;Medium_long_term;1;Semiurban;Y
Male;No;3;No;12500;3000;High;Medium_long_term;1;Rural;N
Male;Yes;0;No;2275;2067;NIL;Medium_long_term;1;Urban;Y
