gender,married,dependents,self_employed,applicantincome,coapplicantincome,loanamount,loan_amount_term,credit_history,property_area,loan_status
male,no,0,no,5849,0,nil,medium_long_term,1,urban,y
male,yes,1,no,4583,1508,medium_high,medium_long_term,1,rural,n
male,yes,0,yes,3000,0,medium_low,medium_long_term,1,urban,y
male,yes,0,no,2583,2358,medium_high,medium_long_term,1,urban,y
male,no,0,no,6000,0,medium_high,medium_long_term,1,urban,y
male,yes,2,yes,5417,4196,high,medium_long_term,1,urban,y
male,yes,0,no,2333,1516,medium_low,medium_long_term,1,urban,y
male,yes,3,no,3036,2504,medium_high,medium_long_term,0,semiurban,n
male,yes,2,no,4006,1526,medium_high,medium_long_term,1,urban,y
male,yes,1,no,12841,10968,high,medium_long_term,1,semiurban,n
male,yes,2,no,3200,700,medium_low,medium_long_term,1,urban,y
male,yes,2,nil,2500,1840,medium_high,medium_long_term,1,urban,y
male,yes,2,no,3073,8106,medium_high,medium_long_term,1,urban,y
male,no,0,no,1853,2840,medium_high,medium_long_term,1,rural,n
male,yes,2,no,1299,1086,low,medium_short_term,1,urban,y
male,no,0,no,4950,0,medium_high,medium_long_term,1,urban,y
male,no,1,no,3596,0,medium_low,medium_long_term,nil,urban,y
female,no,0,no,3510,0,medium_low,medium_long_term,0,urban,n
male,yes,0,no,4887,0,medium_high,medium_long_term,1,rural,n
male,yes,0,nil,2600,3500,medium_high,nil,1,urban,y
male,yes,0,no,7660,0,medium_high,medium_long_term,0,urban,n
male,yes,1,no,5955,5625,high,medium_long_term,1,urban,y
male,yes,0,no,2600,1911,medium_high,medium_long_term,0,semiurban,n
nil,yes,2,no,3365,1917,medium_high,medium_long_term,0,rural,n
male,yes,1,nil,3717,2925,medium_high,medium_long_term,nil,semiurban,n
male,yes,0,yes,9560,0,medium_high,medium_long_term,1,semiurban,y
male,yes,0,no,2799,2253,medium_high,medium_long_term,1,semiurban,y
male,yes,2,no,4226,1040,medium_high,medium_long_term,1,urban,y
male,no,0,no,1442,0,low,medium_long_term,1,urban,n
female,no,2,nil,3750,2083,medium_high,medium_long_term,1,semiurban,y
male,yes,1,nil,4166,3369,high,medium_long_term,nil,urban,n
male,no,0,no,3167,0,medium_low,medium_long_term,1,urban,n
male,no,1,yes,4692,0,medium_high,medium_long_term,1,rural,n
male,yes,0,no,3500,1667,medium_high,medium_long_term,1,semiurban,y
male,no,3,no,12500,3000,high,medium_long_term,1,rural,n
male,yes,0,no,2275,2067,nil,medium_long_term,1,urban,y
male,yes,0,no,1828,1330,medium_low,nil,0,urban,n
female,yes,0,no,3667,1459,medium_high,medium_long_term,1,semiurban,y
male,no,0,no,4166,7210,medium_high,medium_long_term,1,urban,y
male,no,0,no,3748,1668,medium_high,medium_long_term,1,semiurban,y
male,no,0,no,3600,0,medium_low,medium_long_term,1,urban,n
male,no,0,no,1800,1213,low,medium_long_term,1,urban,y
