gender,married,dependents,self_employed,applicantincome,coapplicantincome,loanamount,loan_amount_term,credit_history,property_area,loan_status
gender,no,0,no,5849,0,nil,360,1,urban,y
gender,yes,1,no,4583,1508,128,360,1,rural,n
gender,yes,0,yes,3000,0,66,360,1,urban,y
male,yes,0,no,2583,2358,120,360,1,urban,y
male,no,0,no,6000,0,141,360,1,urban,y
male,yes,2,yes,5417,4196,267,360,1,urban,y
male,yes,0,no,2333,1516,95,360,1,urban,y
male,yes,3,no,3036,2504,158,360,0,semiurban,n
male,yes,2,no,4006,1526,168,360,1,urban,y
male,yes,1,no,12841,10968,349,360,1,semiurban,n
male,yes,2,no,3200,700,70,360,1,urban,y
male,yes,2,nil,2500,1840,109,360,1,urban,y
male,yes,2,no,3073,8106,200,360,1,urban,y
male,no,0,no,1853,2840,114,360,1,rural,n
male,yes,2,no,1299,1086,17,120,1,urban,y
male,no,0,no,4950,0,125,360,1,urban,y
male,no,1,no,3596,0,100,240,nil,urban,y
female,no,0,no,3510,0,76,360,0,urban,n
male,yes,0,no,4887,0,133,360,1,rural,n
male,yes,0,nil,2600,3500,115,nil,1,urban,y
male,yes,0,no,7660,0,104,360,0,urban,n
male,yes,1,no,5955,5625,315,360,1,urban,y
male,yes,0,no,2600,1911,116,360,0,semiurban,n
nil,yes,2,no,3365,1917,112,360,0,rural,n
male,yes,1,nil,3717,2925,151,360,nil,semiurban,n
male,yes,0,yes,9560,0,191,360,1,semiurban,y
male,yes,0,no,2799,2253,122,360,1,semiurban,y
male,yes,2,no,4226,1040,110,360,1,urban,y
male,no,0,no,1442,0,35,360,1,urban,n
female,no,2,nil,3750,2083,120,360,1,semiurban,y
male,yes,1,nil,4166,3369,201,360,nil,urban,n
male,no,0,no,3167,0,74,360,1,urban,n
male,no,1,yes,4692,0,106,360,1,rural,n
male,yes,0,no,3500,1667,114,360,1,semiurban,y
male,no,3,no,12500,3000,320,360,1,rural,n
male,yes,0,no,2275,2067,nil,360,1,urban,y
male,yes,0,no,1828,1330,100,nil,0,urban,n
female,yes,0,no,3667,1459,144,360,1,semiurban,y
male,no,0,no,4166,7210,184,360,1,urban,y
male,no,0,no,3748,1668,110,360,1,semiurban,y
male,no,0,no,3600,0,80,360,1,urban,n
male,no,0,no,1800,1213,47,360,1,urban,y
male,yes,0,no,2400,0,75,360,nil,urban,y
male,yes,0,no,3941,2336,134,360,1,semiurban,y
male,yes,0,yes,4695,0,96,nil,1,urban,y
female,no,0,no,3410,0,88,nil,1,urban,y
male,yes,1,no,5649,0,44,360,1,urban,y
male,yes,0,no,5821,0,144,360,1,urban,y
female,yes,0,no,2645,3440,120,360,0,urban,n
female,no,0,no,4000,2275,144,360,1,semiurban,y
female,yes,0,no,1928,1644,100,360,1,semiurban,y
female,no,0,no,3086,0,120,360,1,semiurban,y
female,no,0,no,4230,0,112,360,1,semiurban,n
male,yes,2,no,4616,0,134,360,1,urban,n
female,yes,1,yes,11500,0,286,360,0,urban,n
male,yes,2,no,2708,1167,97,360,1,semiurban,y
male,yes,0,no,2132,1591,96,360,1,semiurban,y
male,yes,0,no,3366,2200,135,360,1,rural,n
male,yes,1,no,8080,2250,180,360,1,urban,y
male,yes,2,no,3357,2859,144,360,1,urban,y
male,yes,0,no,2500,3796,120,360,1,urban,y
male,yes,3,no,3029,0,99,360,1,urban,y
male,yes,0,yes,2609,3449,165,180,0,rural,n
male,yes,1,no,4945,0,nil,360,0,rural,n
female,no,0,no,4166,0,116,360,0,semiurban,n
male,yes,0,no,5726,4595,258,360,1,semiurban,n
male,no,0,no,3200,2254,126,180,0,urban,n
male,yes,1,no,10750,0,312,360,1,urban,y
male,yes,3,yes,7100,0,125,60,1,urban,y
female,no,0,no,4300,0,136,360,0,semiurban,n
male,yes,0,no,3208,3066,172,360,1,urban,y
male,yes,2,yes,1875,1875,97,360,1,semiurban,y
male,no,0,no,3500,0,81,300,1,semiurban,y
male,yes,3,no,4755,0,95,nil,0,semiurban,n
male,yes,3,yes,5266,1774,187,360,1,semiurban,y
male,no,0,no,3750,0,113,480,1,urban,n
male,no,0,no,3750,4750,176,360,1,urban,n
male,yes,1,yes,1000,3022,110,360,1,urban,n
male,yes,3,no,3167,4000,180,300,0,semiurban,n
male,yes,3,yes,3333,2166,130,360,nil,semiurban,y
female,no,0,no,3846,0,111,360,1,semiurban,y
male,yes,1,yes,2395,0,nil,360,1,semiurban,y
female,yes,2,no,1378,1881,167,360,1,urban,n
male,yes,0,no,6000,2250,265,360,nil,semiurban,n
male,yes,1,no,3988,0,50,240,1,urban,y
male,no,0,no,2366,2531,136,360,1,semiurban,y
male,yes,2,no,3333,2000,99,360,nil,semiurban,y
male,yes,0,no,2500,2118,104,360,1,semiurban,y
male,no,0,no,8566,0,210,360,1,urban,y
male,yes,0,no,5695,4167,175,360,1,semiurban,y
male,yes,0,no,2958,2900,131,360,1,semiurban,y
male,yes,2,no,6250,5654,188,180,1,semiurban,y
male,yes,2,no,3273,1820,81,360,1,urban,y
male,no,0,no,4133,0,122,360,1,semiurban,y
male,no,0,no,3620,0,25,120,1,semiurban,y
male,no,0,nil,6782,0,nil,360,nil,urban,n
female,yes,0,no,2484,2302,137,360,1,semiurban,y
male,yes,0,no,1977,997,50,360,1,semiurban,y
male,yes,0,no,4188,0,115,180,1,semiurban,y
male,yes,0,no,1759,3541,131,360,1,semiurban,y
male,yes,2,no,4288,3263,133,180,1,urban,y
male,no,0,no,4843,3806,151,360,1,semiurban,y
male,yes,nil,no,13650,0,nil,360,1,urban,y
male,yes,0,no,4652,3583,nil,360,1,semiurban,y
male,nil,nil,no,3816,754,160,360,1,urban,y
male,yes,1,no,3052,1030,100,360,1,urban,y
male,yes,2,no,11417,1126,225,360,1,urban,y
male,no,0,nil,7333,0,120,360,1,rural,n
male,yes,2,no,3800,3600,216,360,0,urban,n
male,yes,3,no,2071,754,94,480,1,semiurban,y
male,no,0,no,5316,0,136,360,1,urban,y
female,yes,0,nil,2929,2333,139,360,1,semiurban,y
male,yes,0,no,3572,4114,152,nil,0,rural,n
female,no,1,yes,7451,0,nil,360,1,semiurban,y
male,no,0,nil,5050,0,118,360,1,semiurban,y
male,yes,1,no,14583,0,185,180,1,rural,y
female,yes,0,no,3167,2283,154,360,1,semiurban,y
male,yes,1,no,2214,1398,85,360,nil,urban,y
male,yes,0,no,5568,2142,175,360,1,rural,n
female,no,0,no,10408,0,259,360,1,urban,y
male,yes,nil,no,5667,2667,180,360,1,rural,y
female,no,0,no,4166,0,44,360,1,semiurban,y
female,no,0,no,2137,8980,137,360,0,semiurban,y
male,yes,2,no,2957,0,81,360,1,semiurban,y
male,yes,0,no,4300,2014,194,360,1,rural,y
female,no,0,no,3692,0,93,360,nil,rural,y
nil,yes,3,no,23803,0,370,360,1,rural,y
male,no,0,no,3865,1640,nil,360,1,rural,y
male,yes,1,yes,10513,3850,160,180,0,urban,n
male,yes,0,no,6080,2569,182,360,nil,rural,n
male,no,0,yes,20166,0,650,480,nil,urban,y
male,no,0,no,2014,1929,74,360,1,urban,y
male,no,0,no,2718,0,70,360,1,semiurban,y
male,yes,0,yes,3459,0,25,120,1,semiurban,y
male,no,0,no,4895,0,102,360,1,semiurban,y
male,yes,3,no,4000,7750,290,360,1,semiurban,n
female,yes,0,no,4583,0,84,360,1,rural,n
male,yes,2,yes,3316,3500,88,360,1,urban,y
male,no,0,no,14999,0,242,360,0,semiurban,n
male,yes,2,no,4200,1430,129,360,1,rural,n
male,yes,2,no,5042,2083,185,360,1,rural,n
male,no,0,no,5417,0,168,360,1,urban,y
male,no,0,yes,6950,0,175,180,1,semiurban,y
male,yes,0,no,2698,2034,122,360,1,semiurban,y
male,yes,2,no,11757,0,187,180,1,urban,y
female,yes,0,no,2330,4486,100,360,1,semiurban,y
female,yes,2,no,14866,0,70,360,1,urban,y
male,yes,1,no,1538,1425,30,360,1,urban,y
female,no,0,no,10000,1666,225,360,1,rural,n
male,yes,0,no,4860,830,125,360,1,semiurban,y
male,no,0,no,6277,0,118,360,0,rural,n
male,yes,0,yes,2577,3750,152,360,1,rural,y
male,no,0,no,9166,0,244,360,1,urban,n
male,yes,2,no,2281,0,113,360,1,rural,n
male,no,0,no,3254,0,50,360,1,urban,y
male,yes,3,no,39999,0,600,180,0,semiurban,y
male,yes,1,no,6000,0,160,360,nil,rural,y
male,yes,1,no,9538,0,187,360,1,urban,y
male,no,0,nil,2980,2083,120,360,1,rural,y
male,yes,0,no,4583,5625,255,360,1,semiurban,y
male,yes,0,no,1863,1041,98,360,1,semiurban,y
male,yes,0,no,7933,0,275,360,1,urban,n
male,yes,1,no,3089,1280,121,360,0,semiurban,n
male,yes,2,no,4167,1447,158,360,1,rural,y
male,yes,0,no,9323,0,75,180,1,urban,y
male,yes,0,no,3707,3166,182,nil,1,rural,y
female,yes,0,no,4583,0,112,360,1,rural,n
male,yes,0,no,2439,3333,129,360,1,rural,y
male,no,0,no,2237,0,63,480,0,semiurban,n
male,yes,2,no,8000,0,200,360,1,semiurban,y
male,yes,0,nil,1820,1769,95,360,1,rural,y
nil,yes,3,no,51763,0,700,300,1,urban,y
male,yes,3,no,3522,0,81,180,1,rural,n
male,yes,0,no,5708,5625,187,360,1,semiurban,y
male,yes,0,yes,4344,736,87,360,1,semiurban,n
male,yes,0,no,3497,1964,116,360,1,rural,y
male,yes,2,no,2045,1619,101,360,1,rural,y
male,yes,3,no,5516,11300,495,360,0,semiurban,n
male,yes,1,no,3750,0,116,360,1,semiurban,y
male,no,0,no,2333,1451,102,480,0,urban,n
male,yes,1,no,6400,7250,180,360,0,urban,n
male,no,0,no,1916,5063,67,360,nil,rural,n
male,yes,0,no,4600,0,73,180,1,semiurban,y
male,yes,1,no,33846,0,260,360,1,semiurban,n
female,yes,0,no,3625,0,108,360,1,semiurban,y
male,yes,0,yes,39147,4750,120,360,1,semiurban,y
male,yes,1,yes,2178,0,66,300,0,rural,n
male,yes,0,no,2383,2138,58,360,nil,rural,y
nil,yes,0,yes,674,5296,168,360,1,rural,y
male,yes,0,no,9328,0,188,180,1,rural,y
male,no,0,no,4885,0,48,360,1,rural,y
male,no,0,no,12000,0,164,360,1,semiurban,n
male,yes,0,no,6033,0,160,360,1,urban,n
male,no,0,no,3858,0,76,360,1,semiurban,y
male,no,0,no,4191,0,120,360,1,rural,y
male,yes,1,no,3125,2583,170,360,1,semiurban,n
male,no,0,no,8333,3750,187,360,1,rural,y
female,no,0,no,1907,2365,120,nil,1,urban,y
female,yes,0,no,3416,2816,113,360,nil,semiurban,y
male,no,0,yes,11000,0,83,360,1,urban,n
